Académie;Département ;Série ;Sexe;admis;présents;Session;pourcentage d'admis
NICE;ALPES-MARITIMES;BAC S;2;0;0;2011;#DIV/0!
LYON;AIN;BAC L;1;74;82;2011;90,24390244
STRASBOURG;HAUT-RHIN;BAC L;2;133;146;2011;91,09589041
CRETEIL;SEINE-SAINT-DENIS;BAC L;1;0;0;2011;#DIV/0!
CLERMONT-FERRAND;HAUTE-LOIRE;BAC S;2;356;385;2011;92,46753247
CAEN;MANCHE;BAC L;1;34;40;2011;85
MONTPELLIER;LOZERE;BAC ES;1;1;5;2011;20
MONTPELLIER;LOZERE;BAC L;2;3;5;2011;60
BORDEAUX;LOT-ET-GARONNE;BAC L;2;255;292;2011;87,32876712
CAEN;MANCHE;BAC ES;2;450;463;2011;97,19222462
REIMS;MARNE;BAC L;2;378;402;2011;94,02985075
REIMS;HAUTE-MARNE;BAC ES;2;160;173;2011;92,48554913
REIMS;MARNE;BAC S;1;596;659;2011;90,4400607
DIJON;NIEVRE;BAC S;2;220;243;2011;90,53497942
CORSE;HAUTE-CORSE;BAC L;1;72;84;2011;85,71428571
ROUEN;SEINE MARITIME;BAC S;1;15;16;2011;93,75
ROUEN;SEINE MARITIME;BAC L;1;37;42;2011;88,0952381
LA REUNION;LA REUNION;BAC L;2;40;40;2011;100
DIJON;YONNE;BAC ES;2;13;13;2011;100
CRETEIL;SEINE-SAINT-DENIS;BAC ES;1;4;4;2011;100
CAEN;CALVADOS;BAC S;1;1;2;2011;50
DIJON;COTE D'OR;BAC L;1;124;139;2011;89,20863309
NANCY-METZ;VOSGES;BAC L;2;42;43;2011;97,6744186
BESANCON;HAUTE-SAONE;BAC L;1;131;165;2011;79,39393939
TOULOUSE;HAUTE-GARONNE;BAC S;1;80;84;2011;95,23809524
CLERMONT-FERRAND;HAUTE-LOIRE;BAC ES;2;13;24;2011;54,16666667
NANCY-METZ;MEUSE;BAC ES;2;1048;1204;2011;87,04318937
BESANCON;TERRITOIRE DE BELFORT;BAC S;2;672;728;2011;92,30769231
CLERMONT-FERRAND;CANTAL;BAC L;1;290;297;2011;97,64309764
MAYOTTE;MAYOTTE;BAC ES;2;12;15;2011;80
RENNES;FINISTERE;BAC S;2;1115;1277;2012;87,31401723
ORLEANS-TOURS;EURE-ET-LOIR;BAC S;2;357;372;2012;95,96774194
POITIERS;CHARENTE-MARITIME;BAC S;1;1163;1319;2012;88,17285823
POITIERS;CHARENTE-MARITIME;BAC ES;1;5;10;2012;50
POITIERS;CHARENTE-MARITIME;BAC L;2;114;130;2012;87,69230769
BESANCON;DOUBS;BAC L;1;8;9;2012;88,88888889
GRENOBLE;DROME;BAC S;2;1;1;2012;100
BESANCON;DOUBS;BAC S;1;0;0;2012;#DIV/0!
LIMOGES;CORREZE;BAC ES;2;9;10;2012;90
GRENOBLE;DROME;BAC L;1;1;1;2012;100
DIJON;COTE D'OR;BAC S;1;1671;1847;2012;90,47103411
ROUEN;EURE;BAC S;2;1506;1628;2012;92,50614251
DIJON;COTE D'OR;BAC L;1;166;191;2012;86,91099476
RENNES;COTES D'ARMOR;BAC ES;1;841;868;2012;96,88940092
RENNES;COTES D'ARMOR;BAC S;1;21;46;2012;45,65217391
ROUEN;EURE;BAC L;2;626;668;2012;93,71257485
MONTPELLIER;LOZERE;BAC ES;1;86;95;2012;90,52631579
NANCY-METZ;MEUSE;BAC S;1;0;1;2012;0
NANCY-METZ;MEUSE;BAC ES;1;150;208;2012;72,11538462
NANTES;MAINE-ET-LOIRE;BAC L;2;212;218;2012;97,24770642
RENNES;MORBIHAN;BAC L;1;10;12;2012;83,33333333
NANTES;MAINE-ET-LOIRE;BAC S;2;1;2;2012;50
CAEN;MANCHE;BAC S;2;73;75;2012;97,33333333
NANCY-METZ;MOSELLE;BAC ES;1;45;48;2012;93,75
NANCY-METZ;MOSELLE;BAC S;2;2;6;2012;33,33333333
RENNES;MORBIHAN;BAC S;1;4;4;2012;100
RENNES;MORBIHAN;BAC ES;2;2;5;2012;40
REIMS;MARNE;BAC S;2;50;52;2012;96,15384615
REIMS;MARNE;BAC ES;1;4;4;2012;100
REIMS;MARNE;BAC L;1;3;4;2012;75
REIMS;HAUTE-MARNE;BAC ES;2;4;9;2012;44,44444444
NANTES;MAYENNE;BAC S;1;1;2;2012;50
NANTES;MAYENNE;BAC ES;1;10;26;2012;38,46153846
NANTES;MAYENNE;BAC L;2;486;512;2012;94,921875
NANTES;LOIRE-ATLANTIQUE;BAC S;2;2;3;2012;66,66666667
NANTES;LOIRE-ATLANTIQUE;BAC L;2;298;382;2012;78,0104712
BESANCON;JURA;BAC L;2;77;87;2012;88,50574713
BORDEAUX;LANDES;BAC S;1;240;254;2012;94,48818898
ORLEANS-TOURS;LOIR-ET-CHER;BAC L;2;75;78;2012;96,15384615
BORDEAUX;LANDES;BAC L;1;111;154;2012;72,07792208
ORLEANS-TOURS;LOIRET;BAC S;1;0;0;2012;#DIV/0!
LYON;LOIRE;BAC S;1;3;9;2012;33,33333333
LYON;LOIRE;BAC L;1;200;221;2012;90,49773756
LYON;LOIRE;BAC ES;1;1378;1427;2012;96,56622285
GRENOBLE;ISERE;BAC L;2;57;104;2012;54,80769231
MONTPELLIER;GARD;BAC S;1;25;51;2012;49,01960784
MONTPELLIER;GARD;BAC ES;1;357;370;2012;96,48648649
TOULOUSE;HAUTE-GARONNE;BAC ES;2;211;222;2012;95,04504505
ORLEANS-TOURS;EURE-ET-LOIR;BAC ES;2;1257;1418;2012;88,64598025
AMIENS;OISE;BAC S;1;4;4;2012;100
CAEN;ORNE;BAC S;2;1;1;2012;100
CORSE;CORSE-DU-SUD;BAC ES;2;201;217;2012;92,62672811
LILLE;PAS-DE-CALAIS;BAC ES;1;69;80;2012;86,25
CRETEIL;VAL-DE-MARNE;BAC L;2;11;12;2012;91,66666667
VERSAILLES;VAL-D'OISE;BAC L;2;1;1;2012;100
VERSAILLES;VAL-D'OISE;BAC S;1;0;1;2012;0
LILLE;NORD;BAC S;2;3;4;2012;75
VERSAILLES;YVELINES;BAC L;1;19;24;2012;79,16666667
CLERMONT-FERRAND;PUY-DE-DOME;BAC ES;1;653;756;2012;86,37566138
VERSAILLES;YVELINES;BAC ES;2;0;2;2012;0
BORDEAUX;PYRENEES-ATLANTIQUES;BAC ES;2;128;135;2012;94,81481481
AMIENS;SOMME;BAC L;2;427;430;2012;99,30232558
BORDEAUX;PYRENEES-ATLANTIQUES;BAC L;1;254;258;2012;98,4496124
TOULOUSE;HAUTES-PYRENEES;BAC S;1;20;39;2012;51,28205128
BORDEAUX;PYRENEES-ATLANTIQUES;BAC S;2;7;12;2012;58,33333333
TOULOUSE;HAUTES-PYRENEES;BAC L;1;3;5;2012;60
LILLE;PAS-DE-CALAIS;BAC S;2;1;1;2012;100
LILLE;PAS-DE-CALAIS;BAC L;1;1;1;2012;100
MONTPELLIER;HERAULT;BAC L;1;159;180;2012;88,33333333
TOULOUSE;GERS;BAC S;2;29;31;2012;93,5483871
BORDEAUX;GIRONDE;BAC L;1;35;40;2012;87,5
MONTPELLIER;GARD;BAC L;1;0;0;2012;#DIV/0!
POITIERS;DEUX-SEVRES;BAC ES;2;1;3;2012;33,33333333
POITIERS;DEUX-SEVRES;BAC S;2;0;1;2012;0
AMIENS;OISE;BAC ES;2;8;16;2012;50
CRETEIL;SEINE-ET-MARNE;BAC ES;1;244;282;2012;86,5248227
NANTES;MAINE-ET-LOIRE;BAC ES;1;0;1;2012;0
ORLEANS-TOURS;LOIRET;BAC L;2;150;160;2012;93,75
ORLEANS-TOURS;LOIRET;BAC ES;2;282;308;2012;91,55844156
BORDEAUX;LOT-ET-GARONNE;BAC L;1;23;30;2012;76,66666667
BORDEAUX;LOT-ET-GARONNE;BAC S;2;325;361;2012;90,02770083
MONTPELLIER;LOZERE;BAC L;1;0;0;2012;#DIV/0!
ORLEANS-TOURS;INDRE-ET-LOIRE;BAC ES;2;54;58;2012;93,10344828
MONTPELLIER;HERAULT;BAC ES;2;2;2;2012;100
MONTPELLIER;HERAULT;BAC S;2;609;620;2012;98,22580645
RENNES;ILLE-ET-VILAINE;BAC S;1;4;14;2012;28,57142857
ORLEANS-TOURS;INDRE;BAC ES;1;1;2;2012;50
CRETEIL;VAL-DE-MARNE;BAC ES;2;6;18;2012;33,33333333
DIJON;NIEVRE;BAC S;2;714;754;2012;94,69496021
DIJON;NIEVRE;BAC ES;1;31;33;2012;93,93939394
VERSAILLES;VAL-D'OISE;BAC ES;2;5;5;2012;100
CORSE;CORSE-DU-SUD;BAC S;1;1;1;2012;100
CORSE;HAUTE-CORSE;BAC S;2;560;600;2012;93,33333333
NANCY-METZ;MOSELLE;BAC L;1;0;0;2012;#DIV/0!
NANCY-METZ;MEURTHE-ET-MOSELLE;BAC S;1;3;7;2012;42,85714286
NANCY-METZ;MEURTHE-ET-MOSELLE;BAC ES;2;102;112;2012;91,07142857
ROUEN;SEINE MARITIME;BAC ES;2;152;171;2012;88,88888889
ROUEN;SEINE MARITIME;BAC L;1;37;42;2012;88,0952381
ROUEN;SEINE MARITIME;BAC S;1;189;216;2012;87,5
NANCY-METZ;VOSGES;BAC S;1;0;3;2012;0
BESANCON;TERRITOIRE DE BELFORT;BAC S;2;2;2;2012;100
BESANCON;TERRITOIRE DE BELFORT;BAC ES;2;13;13;2012;100
DIJON;YONNE;BAC ES;1;2;3;2012;66,66666667
NANTES;VENDEE;BAC ES;1;20;31;2012;64,51612903
NANTES;VENDEE;BAC S;1;130;139;2012;93,52517986
POITIERS;VIENNE;BAC ES;2;106;110;2012;96,36363636
LIMOGES;HAUTE-VIENNE;BAC S;1;21;32;2012;65,625
LIMOGES;HAUTE-VIENNE;BAC L;2;1;1;2012;100
POITIERS;VIENNE;BAC S;1;128;139;2012;92,08633094
LIMOGES;HAUTE-VIENNE;BAC ES;1;41;44;2012;93,18181818
AMIENS;AISNE;BAC L;1;0;0;2012;#DIV/0!
AIX-MARSEILLE;ALPES-DE-HTE-PROVENCE;BAC ES;2;2;4;2012;50
AMIENS;AISNE;BAC S;2;77;84;2012;91,66666667
AIX-MARSEILLE;ALPES-DE-HTE-PROVENCE;BAC L;1;0;1;2012;0
CLERMONT-FERRAND;ALLIER;BAC L;2;0;1;2012;0
CLERMONT-FERRAND;ALLIER;BAC S;2;1491;1684;2012;88,5391924
AIX-MARSEILLE;HAUTES-ALPES;BAC S;1;700;822;2012;85,15815085
NICE;ALPES-MARITIMES;BAC ES;2;880;990;2012;88,88888889
LYON;AIN;BAC S;2;0;1;2012;0
GRENOBLE;ARDECHE;BAC ES;1;293;307;2012;95,43973941
GRENOBLE;ARDECHE;BAC L;2;260;274;2012;94,89051095
GRENOBLE;ARDECHE;BAC S;2;19;27;2012;70,37037037
TOULOUSE;ARIEGE;BAC L;1;1;1;2012;100
TOULOUSE;ARIEGE;BAC S;2;62;68;2012;91,17647059
REIMS;AUBE;BAC S;1;1;4;2012;25
REIMS;AUBE;BAC L;2;202;231;2012;87,44588745
MONTPELLIER;AUDE;BAC S;1;3;4;2012;75
TOULOUSE;AVEYRON;BAC S;2;6;6;2012;100
TOULOUSE;AVEYRON;BAC L;1;69;77;2012;89,61038961
MONTPELLIER;AUDE;BAC L;2;3;4;2012;75
AIX-MARSEILLE;BOUCHES-DU-RHONE;BAC S;1;3;6;2012;50
AIX-MARSEILLE;BOUCHES-DU-RHONE;BAC ES;2;104;108;2012;96,2962963
TOULOUSE;AVEYRON;BAC ES;2;379;402;2012;94,27860697
NICE;ALPES-MARITIMES;BAC L;1;126;141;2012;89,36170213
CLERMONT-FERRAND;CANTAL;BAC L;1;5;7;2012;71,42857143
POITIERS;CHARENTE;BAC ES;1;0;0;2012;#DIV/0!
CLERMONT-FERRAND;CANTAL;BAC ES;1;135;148;2012;91,21621622
AIX-MARSEILLE;BOUCHES-DU-RHONE;BAC L;2;153;166;2012;92,1686747
CAEN;CALVADOS;BAC L;1;1;1;2012;100
RENNES;ILLE-ET-VILAINE;BAC ES;1;11;13;2012;84,61538462
LIMOGES;CORREZE;BAC L;1;1;3;2012;33,33333333
ORLEANS-TOURS;CHER;BAC S;2;2;2;2012;100
RENNES;COTES D'ARMOR;BAC L;2;68;70;2012;97,14285714
POITIERS;CHARENTE;BAC L;1;5;5;2012;100
LIMOGES;CREUSE;BAC S;2;23;23;2012;100
LIMOGES;CREUSE;BAC ES;2;416;437;2012;95,19450801
LA REUNION;LA REUNION;BAC L;2;0;3;2012;0
MAYOTTE;MAYOTTE;BAC ES;2;396;454;2012;87,2246696
LA REUNION;LA REUNION;BAC ES;2;74;88;2012;84,09090909
GUYANE;GUYANE;BAC ES;1;107;126;2012;84,92063492
