Académie;Département ;Série ;Sexe;admis;présents;Session;pourcentage d'admis
LILLE;NORD;BAC ES;1;7;11;2012;63,63636364
VERSAILLES;YVELINES;BAC S;2;11;18;2012;61,11111111
AMIENS;SOMME;BAC ES;2;103;108;2012;95,37037037
CRETEIL;SEINE-ET-MARNE;BAC L;2;49;50;2012;98
CRETEIL;SEINE-ET-MARNE;BAC S;2;1;3;2012;33,33333333
BORDEAUX;GIRONDE;BAC ES;1;1;4;2012;25
BORDEAUX;GIRONDE;BAC S;2;105;119;2012;88,23529412
TOULOUSE;GERS;BAC ES;1;161;185;2012;87,02702703
CAEN;ORNE;BAC ES;2;0;1;2012;0
BORDEAUX;LOT-ET-GARONNE;BAC ES;1;1;1;2012;100
ORLEANS-TOURS;INDRE-ET-LOIRE;BAC S;2;3;5;2012;60
ORLEANS-TOURS;INDRE-ET-LOIRE;BAC L;1;1;3;2012;33,33333333
ORLEANS-TOURS;INDRE;BAC L;2;7;14;2012;50
CRETEIL;VAL-DE-MARNE;BAC S;2;246;273;2012;90,10989011
CORSE;HAUTE-CORSE;BAC ES;2;81;92;2012;88,04347826
DIJON;NIEVRE;BAC L;2;1;5;2012;20
REIMS;HAUTE-MARNE;BAC L;1;68;78;2012;87,17948718
DIJON;YONNE;BAC L;1;37;38;2012;97,36842105
DIJON;YONNE;BAC S;1;3;4;2012;75
NANCY-METZ;VOSGES;BAC ES;1;35;39;2012;89,74358974
BESANCON;TERRITOIRE DE BELFORT;BAC L;2;0;1;2012;0
NANTES;VENDEE;BAC L;2;100;101;2012;99,00990099
POITIERS;VIENNE;BAC L;2;5;8;2012;62,5
CLERMONT-FERRAND;ALLIER;BAC ES;1;2;7;2012;28,57142857
AIX-MARSEILLE;HAUTES-ALPES;BAC ES;2;6;12;2012;50
AIX-MARSEILLE;ALPES-DE-HTE-PROVENCE;BAC S;1;1;5;2012;20
LYON;AIN;BAC ES;1;123;170;2012;72,35294118
REIMS;ARDENNES;BAC ES;2;2;2;2012;100
REIMS;ARDENNES;BAC L;1;18;19;2012;94,73684211
TOULOUSE;ARIEGE;BAC ES;2;0;1;2012;0
REIMS;ARDENNES;BAC S;1;5;8;2012;62,5
POITIERS;CHARENTE;BAC S;2;16;17;2012;94,11764706
CAEN;CALVADOS;BAC S;1;9;10;2012;90
GRENOBLE;ISERE;BAC S;2;3;7;2012;42,85714286
ORLEANS-TOURS;CHER;BAC ES;1;21;26;2012;80,76923077
ORLEANS-TOURS;CHER;BAC L;1;0;0;2012;#DIV/0!
LIMOGES;CORREZE;BAC S;1;1;2;2012;50
DIJON;COTE D'OR;BAC ES;1;422;455;2012;92,74725275
GUADELOUPE;GUADELOUPE;BAC ES;2;416;453;2012;91,83222958
MARTINIQUE;MARTINIQUE;BAC ES;2;21;24;2012;87,5
MARTINIQUE;MARTINIQUE;BAC L;2;514;581;2012;88,46815835
CLERMONT-FERRAND;PUY-DE-DOME;BAC L;2;143;156;2012;91,66666667
STRASBOURG;HAUT-RHIN;BAC S;1;20;48;2012;41,66666667
MONTPELLIER;PYRENEES-ORIENTALES;BAC ES;2;79;82;2012;96,34146341
MONTPELLIER;PYRENEES-ORIENTALES;BAC S;2;983;1134;2012;86,68430335
BESANCON;HAUTE-SAONE;BAC L;2;205;207;2012;99,03381643
DIJON;SAONE-ET-LOIRE;BAC ES;1;26;26;2012;100
BESANCON;HAUTE-SAONE;BAC ES;1;1;5;2012;20
AIX-MARSEILLE;VAUCLUSE;BAC L;2;1007;1082;2012;93,06839187
NICE;VAR;BAC S;1;118;128;2012;92,1875
AIX-MARSEILLE;VAUCLUSE;BAC ES;1;8;26;2012;30,76923077
TOULOUSE;TARN;BAC L;2;13;14;2012;92,85714286
GRENOBLE;HAUTE SAVOIE;BAC S;1;9;9;2012;100
PARIS;PARIS;BAC ES;1;1;3;2012;33,33333333
VERSAILLES;HAUTS-DE-SEINE;BAC ES;1;1;1;2012;100
GRENOBLE;DROME;BAC ES;2;0;1;2012;0
LIMOGES;CREUSE;BAC L;2;1;1;2012;100
MONTPELLIER;LOZERE;BAC S;1;0;2;2012;0
NANCY-METZ;MEUSE;BAC L;2;3;7;2012;42,85714286
TOULOUSE;LOT;BAC ES;1;6;10;2012;60
GRENOBLE;ISERE;BAC ES;2;21;39;2012;53,84615385
RENNES;FINISTERE;BAC ES;1;12;39;2012;30,76923077
CAEN;ORNE;BAC L;1;723;813;2012;88,9298893
GUADELOUPE;GUADELOUPE;BAC L;1;4;6;2012;66,66666667
LILLE;NORD;BAC L;1;2;6;2012;33,33333333
POITIERS;DEUX-SEVRES;BAC L;2;3;8;2012;37,5
TOULOUSE;HAUTES-PYRENEES;BAC ES;2;101;104;2012;97,11538462
TOULOUSE;HAUTE-GARONNE;BAC S;2;25;26;2012;96,15384615
TOULOUSE;GERS;BAC L;2;296;327;2012;90,51987768
CAEN;MANCHE;BAC L;1;0;1;2012;0
TOULOUSE;LOT;BAC S;2;656;763;2012;85,97640891
TOULOUSE;LOT;BAC L;2;51;54;2012;94,44444444
RENNES;ILLE-ET-VILAINE;BAC L;1;16;18;2012;88,88888889
ORLEANS-TOURS;INDRE;BAC S;2;861;917;2012;93,89312977
AMIENS;AISNE;BAC ES;1;121;139;2012;87,05035971
NICE;ALPES-MARITIMES;BAC S;2;208;213;2012;97,65258216
LYON;AIN;BAC L;1;162;173;2012;93,6416185
REIMS;AUBE;BAC ES;2;264;298;2012;88,59060403
MONTPELLIER;AUDE;BAC ES;1;79;84;2012;94,04761905
CLERMONT-FERRAND;CANTAL;BAC S;1;3;6;2012;50
CAEN;CALVADOS;BAC ES;2;51;68;2012;75
ORLEANS-TOURS;LOIR-ET-CHER;BAC S;1;32;36;2012;88,88888889
GUYANE;GUYANE;BAC L;1;3;5;2012;60
MAYOTTE;MAYOTTE;BAC L;1;2;2;2012;100
TOULOUSE;TARN-ET-GARONNE;BAC ES;2;961;988;2012;97,26720648
NANTES;SARTHE;BAC S;1;195;291;2012;67,01030928
GRENOBLE;HAUTE SAVOIE;BAC ES;2;1;1;2012;100
VERSAILLES;HAUTS-DE-SEINE;BAC L;1;350;400;2012;87,5
AMIENS;SOMME;BAC S;2;722;829;2012;87,09288299
GUYANE;GUYANE;BAC S;2;1080;1247;2012;86,60785886
BESANCON;HAUTE-SAONE;BAC S;1;2;6;2012;33,33333333
PARIS;PARIS;BAC L;1;0;0;2012;#DIV/0!
ROUEN;EURE;BAC ES;1;131;160;2012;81,875
NANCY-METZ;VOSGES;BAC L;1;2;4;2012;50
CLERMONT-FERRAND;PUY-DE-DOME;BAC S;1;6;7;2012;85,71428571
AIX-MARSEILLE;HAUTES-ALPES;BAC L;2;576;654;2012;88,0733945
CRETEIL;VAL-DE-MARNE;BAC S;1;1;2;2013;50
CRETEIL;VAL-DE-MARNE;BAC ES;1;94;99;2013;94,94949495
CRETEIL;VAL-DE-MARNE;BAC L;2;160;165;2013;96,96969697
VERSAILLES;VAL-D'OISE;BAC S;2;0;2;2013;0
CRETEIL;SEINE-SAINT-DENIS;BAC S;1;1919;2185;2013;87,82608696
VERSAILLES;VAL-D'OISE;BAC L;2;809;881;2013;91,82746879
CRETEIL;SEINE-SAINT-DENIS;BAC L;1;164;188;2013;87,23404255
CRETEIL;SEINE-SAINT-DENIS;BAC ES;1;547;557;2013;98,20466786
LYON;AIN;BAC S;1;355;390;2013;91,02564103
AMIENS;AISNE;BAC L;1;43;55;2013;78,18181818
CLERMONT-FERRAND;ALLIER;BAC L;2;5;8;2013;62,5
AIX-MARSEILLE;HAUTES-ALPES;BAC L;1;7;14;2013;50
NICE;ALPES-MARITIMES;BAC L;1;0;2;2013;0
AMIENS;AISNE;BAC S;2;5;7;2013;71,42857143
CLERMONT-FERRAND;ALLIER;BAC S;1;37;41;2013;90,24390244
CLERMONT-FERRAND;ALLIER;BAC ES;1;0;1;2013;0
AIX-MARSEILLE;ALPES-DE-HTE-PROVENCE;BAC ES;2;2;3;2013;66,66666667
AMIENS;AISNE;BAC ES;1;12;13;2013;92,30769231
AIX-MARSEILLE;ALPES-DE-HTE-PROVENCE;BAC S;1;0;1;2013;0
GRENOBLE;ARDECHE;BAC L;2;0;3;2013;0
AIX-MARSEILLE;BOUCHES-DU-RHONE;BAC ES;2;2;2;2013;100
GRENOBLE;ARDECHE;BAC S;2;256;288;2013;88,88888889
TOULOUSE;ARIEGE;BAC S;1;36;42;2013;85,71428571
TOULOUSE;ARIEGE;BAC ES;1;429;459;2013;93,46405229
REIMS;AUBE;BAC L;2;317;336;2013;94,3452381
TOULOUSE;AVEYRON;BAC S;2;264;276;2013;95,65217391
TOULOUSE;AVEYRON;BAC L;2;1;2;2013;50
TOULOUSE;AVEYRON;BAC ES;2;3;7;2013;42,85714286
REIMS;AUBE;BAC ES;1;1;1;2013;100
REIMS;ARDENNES;BAC L;1;1;2;2013;50
NICE;ALPES-MARITIMES;BAC ES;1;298;305;2013;97,70491803
AIX-MARSEILLE;BOUCHES-DU-RHONE;BAC S;1;54;54;2013;100
CAEN;CALVADOS;BAC S;2;1372;1476;2013;92,95392954
POITIERS;CHARENTE;BAC L;1;275;287;2013;95,81881533
POITIERS;CHARENTE;BAC S;1;1;1;2013;100
POITIERS;CHARENTE;BAC ES;1;0;1;2013;0
AIX-MARSEILLE;BOUCHES-DU-RHONE;BAC L;1;1;3;2013;33,33333333
CAEN;CALVADOS;BAC ES;2;1;1;2013;100
CAEN;CALVADOS;BAC L;2;137;146;2013;93,83561644
POITIERS;CHARENTE-MARITIME;BAC S;2;7;15;2013;46,66666667
BORDEAUX;DORDOGNE;BAC S;1;602;677;2013;88,92171344
POITIERS;CHARENTE-MARITIME;BAC L;1;1;1;2013;100
RENNES;COTES D'ARMOR;BAC ES;2;40;42;2013;95,23809524
LIMOGES;CREUSE;BAC S;2;87;97;2013;89,69072165
POITIERS;CHARENTE-MARITIME;BAC ES;2;137;145;2013;94,48275862
DIJON;COTE D'OR;BAC S;2;791;859;2013;92,08381839
DIJON;COTE D'OR;BAC L;2;1;1;2013;100
ORLEANS-TOURS;CHER;BAC ES;1;16;16;2013;100
BORDEAUX;DORDOGNE;BAC L;2;1;5;2013;20
ORLEANS-TOURS;CHER;BAC L;1;1;1;2013;100
GRENOBLE;DROME;BAC ES;1;26;54;2013;48,14814815
GRENOBLE;DROME;BAC L;2;11;26;2013;42,30769231
RENNES;FINISTERE;BAC S;1;9;16;2013;56,25
ROUEN;EURE;BAC L;1;0;1;2013;0
ROUEN;EURE;BAC S;1;297;360;2013;82,5
ORLEANS-TOURS;EURE-ET-LOIR;BAC L;2;107;114;2013;93,85964912
BESANCON;DOUBS;BAC L;1;121;162;2013;74,69135802
BORDEAUX;GIRONDE;BAC S;2;0;1;2013;0
MONTPELLIER;GARD;BAC L;1;0;0;2013;#DIV/0!
TOULOUSE;HAUTE-GARONNE;BAC ES;1;14;17;2013;82,35294118
TOULOUSE;GERS;BAC ES;2;170;180;2013;94,44444444
BORDEAUX;GIRONDE;BAC ES;1;1;1;2013;100
TOULOUSE;GERS;BAC S;1;0;4;2013;0
MONTPELLIER;GARD;BAC ES;1;25;32;2013;78,125
MONTPELLIER;GARD;BAC S;2;0;1;2013;0
TOULOUSE;HAUTE-GARONNE;BAC S;2;1;2;2013;50
RENNES;FINISTERE;BAC ES;2;30;31;2013;96,77419355
MONTPELLIER;HERAULT;BAC ES;1;17;18;2013;94,44444444
MONTPELLIER;HERAULT;BAC S;1;16;18;2013;88,88888889
RENNES;ILLE-ET-VILAINE;BAC L;2;5;6;2013;83,33333333
BORDEAUX;GIRONDE;BAC L;1;167;178;2013;93,82022472
GRENOBLE;ISERE;BAC ES;1;47;48;2013;97,91666667
ORLEANS-TOURS;INDRE-ET-LOIRE;BAC L;1;0;1;2013;0
RENNES;ILLE-ET-VILAINE;BAC S;1;611;656;2013;93,1402439
ORLEANS-TOURS;INDRE-ET-LOIRE;BAC ES;2;512;536;2013;95,52238806
ORLEANS-TOURS;INDRE-ET-LOIRE;BAC S;1;75;85;2013;88,23529412
ORLEANS-TOURS;INDRE;BAC L;2;2;2;2013;100
ORLEANS-TOURS;INDRE;BAC S;2;0;1;2013;0
BESANCON;JURA;BAC L;2;572;635;2013;90,07874016
BORDEAUX;LANDES;BAC ES;2;4;6;2013;66,66666667
CLERMONT-FERRAND;HAUTE-LOIRE;BAC S;2;2;5;2013;40
BESANCON;JURA;BAC S;2;15;17;2013;88,23529412
BESANCON;JURA;BAC ES;2;41;43;2013;95,34883721
CLERMONT-FERRAND;HAUTE-LOIRE;BAC L;2;1;3;2013;33,33333333
ORLEANS-TOURS;LOIR-ET-CHER;BAC S;1;8;8;2013;100
BORDEAUX;LANDES;BAC S;2;2;6;2013;33,33333333
NANTES;LOIRE-ATLANTIQUE;BAC L;2;381;407;2013;93,61179361
TOULOUSE;LOT;BAC S;2;297;316;2013;93,98734177
NANTES;MAINE-ET-LOIRE;BAC S;1;10;10;2013;100
TOULOUSE;LOT;BAC ES;1;247;269;2013;91,82156134
BORDEAUX;LOT-ET-GARONNE;BAC L;1;8;8;2013;100
BORDEAUX;LOT-ET-GARONNE;BAC ES;2;2;5;2013;40
ORLEANS-TOURS;LOIRET;BAC ES;2;95;104;2013;91,34615385
RENNES;MORBIHAN;BAC S;1;12;12;2013;100
CAEN;MANCHE;BAC ES;1;303;339;2013;89,38053097
REIMS;MARNE;BAC S;2;2;3;2013;66,66666667
REIMS;MARNE;BAC ES;1;2;2;2013;100
REIMS;MARNE;BAC L;2;1;1;2013;100
NANTES;MAYENNE;BAC L;1;0;1;2013;0
NANCY-METZ;MEURTHE-ET-MOSELLE;BAC S;2;1;1;2013;100
NANCY-METZ;MEUSE;BAC S;2;525;579;2013;90,67357513
NANTES;MAYENNE;BAC ES;1;59;64;2013;92,1875
NANCY-METZ;MEUSE;BAC L;2;0;0;2013;#DIV/0!
CAEN;MANCHE;BAC S;2;13;14;2013;92,85714286
CAEN;MANCHE;BAC L;2;6;8;2013;75
REIMS;HAUTE-MARNE;BAC S;2;372;395;2013;94,17721519
NANCY-METZ;MOSELLE;BAC S;1;75;85;2013;88,23529412
NANCY-METZ;MOSELLE;BAC ES;1;17;18;2013;94,44444444
RENNES;MORBIHAN;BAC ES;2;20;20;2013;100
RENNES;MORBIHAN;BAC L;2;79;81;2013;97,5308642
DIJON;NIEVRE;BAC L;2;1;1;2013;100
LILLE;NORD;BAC L;1;2;2;2013;100
CAEN;ORNE;BAC ES;2;23;24;2013;95,83333333
CAEN;ORNE;BAC L;1;6;8;2013;75
TOULOUSE;HAUTES-PYRENEES;BAC ES;1;0;0;2013;#DIV/0!
LILLE;PAS-DE-CALAIS;BAC ES;2;2;2;2013;100
CLERMONT-FERRAND;PUY-DE-DOME;BAC ES;1;1;7;2013;14,28571429
BORDEAUX;PYRENEES-ATLANTIQUES;BAC ES;2;384;472;2013;81,3559322
TOULOUSE;HAUTES-PYRENEES;BAC S;1;0;0;2013;#DIV/0!
TOULOUSE;HAUTES-PYRENEES;BAC L;2;309;336;2013;91,96428571
LILLE;PAS-DE-CALAIS;BAC S;2;2;4;2013;50
MONTPELLIER;PYRENEES-ORIENTALES;BAC S;1;212;224;2013;94,64285714
CLERMONT-FERRAND;PUY-DE-DOME;BAC S;1;1;6;2013;16,66666667
CLERMONT-FERRAND;PUY-DE-DOME;BAC L;1;2;5;2013;40
LYON;RHONE;BAC L;1;2;2;2013;100
STRASBOURG;BAS-RHIN;BAC S;2;2;4;2013;50
LYON;RHONE;BAC S;2;49;55;2013;89,09090909
MONTPELLIER;PYRENEES-ORIENTALES;BAC ES;1;19;19;2013;100
STRASBOURG;BAS-RHIN;BAC L;1;0;0;2013;#DIV/0!
STRASBOURG;HAUT-RHIN;BAC ES;1;93;100;2013;93
STRASBOURG;HAUT-RHIN;BAC L;1;1;2;2013;50
MONTPELLIER;PYRENEES-ORIENTALES;BAC L;2;1;1;2013;100
DIJON;SAONE-ET-LOIRE;BAC ES;1;1460;1704;2013;85,68075117
NANTES;SARTHE;BAC ES;2;1212;1336;2013;90,71856287
DIJON;SAONE-ET-LOIRE;BAC S;1;614;727;2013;84,45667125
BESANCON;HAUTE-SAONE;BAC S;1;20;20;2013;100
BESANCON;HAUTE-SAONE;BAC L;1;2;2;2013;100
PARIS;PARIS;BAC ES;2;217;229;2013;94,75982533
GRENOBLE;SAVOIE;BAC S;1;1;5;2013;20
GRENOBLE;HAUTE SAVOIE;BAC L;2;1;2;2013;50
VERSAILLES;HAUTS-DE-SEINE;BAC L;1;0;5;2013;0
VERSAILLES;HAUTS-DE-SEINE;BAC S;1;5;7;2013;71,42857143
NICE;VAR;BAC ES;2;8;20;2013;40
VERSAILLES;YVELINES;BAC ES;2;13;18;2013;72,22222222
POITIERS;DEUX-SEVRES;BAC S;1;9;9;2013;100
AMIENS;SOMME;BAC ES;2;892;976;2013;91,39344262
TOULOUSE;TARN;BAC ES;2;130;141;2013;92,19858156
TOULOUSE;TARN;BAC S;1;20;23;2013;86,95652174
TOULOUSE;TARN-ET-GARONNE;BAC S;2;671;762;2013;88,05774278
NICE;VAR;BAC L;1;248;269;2013;92,19330855
VERSAILLES;YVELINES;BAC L;2;2;4;2013;50
VERSAILLES;YVELINES;BAC S;2;0;4;2013;0
LA REUNION;LA REUNION;BAC ES;2;159;181;2013;87,84530387
LA REUNION;LA REUNION;BAC L;1;1;4;2013;25
VERSAILLES;VAL-D'OISE;BAC ES;1;2;4;2013;50
CORSE;CORSE-DU-SUD;BAC S;1;255;291;2013;87,62886598
CORSE;HAUTE-CORSE;BAC L;1;68;78;2013;87,17948718
GUADELOUPE;GUADELOUPE;BAC ES;1;1;1;2013;100
GUADELOUPE;GUADELOUPE;BAC L;1;158;170;2013;92,94117647
LA REUNION;LA REUNION;BAC S;2;0;1;2013;0
CORSE;CORSE-DU-SUD;BAC L;2;123;126;2013;97,61904762
CORSE;HAUTE-CORSE;BAC ES;2;0;2;2013;0
GUYANE;GUYANE;BAC S;2;3;4;2013;75
MARTINIQUE;MARTINIQUE;BAC ES;1;1;1;2013;100
GUYANE;GUYANE;BAC ES;1;0;0;2013;#DIV/0!
CORSE;HAUTE-CORSE;BAC S;1;1;1;2013;100
NANCY-METZ;VOSGES;BAC L;2;1;1;2013;100
BESANCON;TERRITOIRE DE BELFORT;BAC S;2;290;338;2013;85,79881657
VERSAILLES;ESSONNE;BAC L;1;87;101;2013;86,13861386
LIMOGES;HAUTE-VIENNE;BAC L;1;0;1;2013;0
VERSAILLES;ESSONNE;BAC S;2;3;8;2013;37,5
LIMOGES;HAUTE-VIENNE;BAC ES;1;293;298;2013;98,32214765
DIJON;YONNE;BAC L;2;1;1;2013;100
BESANCON;TERRITOIRE DE BELFORT;BAC L;1;1005;1099;2013;91,44676979
ROUEN;SEINE MARITIME;BAC ES;2;928;973;2013;95,37512847
PARIS;PARIS;BAC L;2;719;789;2013;91,12801014
MAYOTTE;MAYOTTE;BAC L;1;17;19;2013;89,47368421
POLYNESIE FRANCAISE;POLYNESIE FRANCAISE;BAC L;2;1;2;2013;50
POLYNESIE FRANCAISE;POLYNESIE FRANCAISE;BAC S;1;46;51;2013;90,19607843
NANTES;VENDEE;BAC ES;1;12;12;2013;100
AIX-MARSEILLE;VAUCLUSE;BAC S;1;43;49;2013;87,75510204
CRETEIL;SEINE-ET-MARNE;BAC S;2;224;260;2013;86,15384615
POITIERS;VIENNE;BAC L;1;203;244;2013;83,19672131
AIX-MARSEILLE;VAUCLUSE;BAC ES;2;1;3;2013;33,33333333
AIX-MARSEILLE;VAUCLUSE;BAC L;2;3;8;2013;37,5
NICE;VAR;BAC S;1;0;2;2013;0
LIMOGES;HAUTE-VIENNE;BAC S;2;1;1;2013;100
POITIERS;VIENNE;BAC ES;2;1;1;2013;100
CRETEIL;SEINE-ET-MARNE;BAC ES;1;23;26;2013;88,46153846
NICE;ALPES-MARITIMES;BAC S;2;17;19;2013;89,47368421
LYON;AIN;BAC L;1;1;1;2013;100
AIX-MARSEILLE;HAUTES-ALPES;BAC S;1;42;45;2013;93,33333333
MONTPELLIER;AUDE;BAC ES;2;19;19;2013;100
MONTPELLIER;AUDE;BAC L;1;1;1;2013;100
TOULOUSE;ARIEGE;BAC L;1;26;27;2013;96,2962963
MONTPELLIER;AUDE;BAC S;1;3;4;2013;75
REIMS;ARDENNES;BAC S;2;422;436;2013;96,78899083
REIMS;AUBE;BAC S;1;67;78;2013;85,8974359
CLERMONT-FERRAND;CANTAL;BAC S;1;3;8;2013;37,5
CLERMONT-FERRAND;CANTAL;BAC L;2;28;33;2013;84,84848485
CLERMONT-FERRAND;CANTAL;BAC ES;1;7;8;2013;87,5
BESANCON;DOUBS;BAC S;1;0;1;2013;0
RENNES;COTES D'ARMOR;BAC L;1;0;1;2013;0
BORDEAUX;DORDOGNE;BAC ES;2;0;1;2013;0
ORLEANS-TOURS;CHER;BAC S;1;9;21;2013;42,85714286
RENNES;COTES D'ARMOR;BAC S;1;9;16;2013;56,25
LIMOGES;CREUSE;BAC ES;2;8;18;2013;44,44444444
LIMOGES;CREUSE;BAC L;1;5;9;2013;55,55555556
DIJON;COTE D'OR;BAC ES;2;3;5;2013;60
LIMOGES;CORREZE;BAC L;1;6;6;2013;100
LIMOGES;CORREZE;BAC S;2;0;1;2013;0
ROUEN;EURE;BAC ES;2;2;2;2013;100
RENNES;FINISTERE;BAC L;1;239;260;2013;91,92307692
BESANCON;DOUBS;BAC ES;2;1;2;2013;50
GRENOBLE;DROME;BAC S;1;1;3;2013;33,33333333
ORLEANS-TOURS;EURE-ET-LOIR;BAC ES;1;2;2;2013;100
TOULOUSE;GERS;BAC L;2;0;1;2013;0
TOULOUSE;HAUTE-GARONNE;BAC L;1;0;2;2013;0
MONTPELLIER;HERAULT;BAC L;1;40;51;2013;78,43137255
GRENOBLE;ISERE;BAC L;1;7;14;2013;50
ORLEANS-TOURS;INDRE;BAC ES;2;6;17;2013;35,29411765
NANTES;LOIRE-ATLANTIQUE;BAC S;2;0;1;2013;0
LYON;LOIRE;BAC S;2;9;9;2013;100
LYON;LOIRE;BAC L;2;2;4;2013;50
ORLEANS-TOURS;LOIR-ET-CHER;BAC L;2;7;8;2013;87,5
BORDEAUX;LANDES;BAC L;2;62;67;2013;92,53731343
ORLEANS-TOURS;LOIR-ET-CHER;BAC ES;1;0;0;2013;#DIV/0!
NANTES;LOIRE-ATLANTIQUE;BAC ES;2;0;1;2013;0
ORLEANS-TOURS;LOIRET;BAC S;2;11;13;2013;84,61538462
NANTES;MAINE-ET-LOIRE;BAC L;2;1;3;2013;33,33333333
NANTES;MAINE-ET-LOIRE;BAC ES;1;1;2;2013;50
BORDEAUX;LOT-ET-GARONNE;BAC S;2;1;1;2013;100
MONTPELLIER;LOZERE;BAC L;1;199;229;2013;86,89956332
REIMS;HAUTE-MARNE;BAC L;2;96;113;2013;84,95575221
NANCY-METZ;MEURTHE-ET-MOSELLE;BAC L;2;3;5;2013;60
NANTES;MAYENNE;BAC S;2;4;7;2013;57,14285714
REIMS;HAUTE-MARNE;BAC ES;2;104;109;2013;95,41284404
NANCY-METZ;MEURTHE-ET-MOSELLE;BAC ES;2;83;94;2013;88,29787234
NANCY-METZ;MEUSE;BAC ES;2;40;47;2013;85,10638298
LILLE;NORD;BAC ES;2;3;5;2013;60
NANCY-METZ;MOSELLE;BAC L;2;365;425;2013;85,88235294
AMIENS;OISE;BAC S;2;419;484;2013;86,57024793
LILLE;NORD;BAC S;1;34;39;2013;87,17948718
CAEN;ORNE;BAC S;2;587;706;2013;83,14447592
AMIENS;OISE;BAC L;2;242;245;2013;98,7755102
BORDEAUX;PYRENEES-ATLANTIQUES;BAC L;1;24;26;2013;92,30769231
BORDEAUX;PYRENEES-ATLANTIQUES;BAC S;2;0;2;2013;0
STRASBOURG;BAS-RHIN;BAC ES;2;0;3;2013;0
BESANCON;HAUTE-SAONE;BAC ES;1;10;19;2013;52,63157895
NANTES;SARTHE;BAC S;1;5;10;2013;50
DIJON;SAONE-ET-LOIRE;BAC L;2;15;32;2013;46,875
GRENOBLE;HAUTE SAVOIE;BAC ES;2;9;26;2013;34,61538462
GRENOBLE;SAVOIE;BAC ES;1;129;153;2013;84,31372549
PARIS;PARIS;BAC S;1;420;462;2013;90,90909091
GRENOBLE;SAVOIE;BAC L;2;420;457;2013;91,90371991
NANTES;SARTHE;BAC L;1;167;188;2013;88,82978723
GRENOBLE;HAUTE SAVOIE;BAC S;2;2;2;2013;100
POITIERS;DEUX-SEVRES;BAC L;1;390;446;2013;87,44394619
AMIENS;SOMME;BAC S;1;1;10;2013;10
POITIERS;DEUX-SEVRES;BAC ES;2;10;16;2013;62,5
TOULOUSE;TARN-ET-GARONNE;BAC L;1;14;15;2013;93,33333333
AMIENS;SOMME;BAC L;2;0;2;2013;0
TOULOUSE;TARN;BAC L;2;105;113;2013;92,92035398
MARTINIQUE;MARTINIQUE;BAC L;2;3;6;2013;50
GUADELOUPE;GUADELOUPE;BAC S;2;644;658;2013;97,87234043
GUYANE;GUYANE;BAC L;2;14;17;2013;82,35294118
DIJON;YONNE;BAC ES;1;1;4;2013;25
VERSAILLES;ESSONNE;BAC ES;1;499;658;2013;75,83586626
NANCY-METZ;VOSGES;BAC S;2;18;40;2013;45
ROUEN;SEINE MARITIME;BAC S;1;9;21;2013;42,85714286
ROUEN;SEINE MARITIME;BAC L;2;569;617;2013;92,22042139
MAYOTTE;MAYOTTE;BAC ES;1;56;62;2013;90,32258065
NANTES;VENDEE;BAC S;2;96;99;2013;96,96969697
AIX-MARSEILLE;ALPES-DE-HTE-PROVENCE;BAC L;1;0;1;2013;0
LYON;AIN;BAC ES;1;25;26;2013;96,15384615
AIX-MARSEILLE;HAUTES-ALPES;BAC ES;2;0;1;2013;0
GRENOBLE;ARDECHE;BAC ES;1;2;3;2013;66,66666667
ORLEANS-TOURS;EURE-ET-LOIR;BAC S;2;1082;1133;2013;95,49867608
GRENOBLE;ISERE;BAC S;1;14;15;2013;93,33333333
LYON;LOIRE;BAC ES;1;13;14;2013;92,85714286
ORLEANS-TOURS;LOIRET;BAC L;2;6;6;2013;100
TOULOUSE;LOT;BAC L;2;5;5;2013;100
MONTPELLIER;LOZERE;BAC ES;2;4;6;2013;66,66666667
DIJON;NIEVRE;BAC ES;1;202;225;2013;89,77777778
AMIENS;OISE;BAC ES;2;152;158;2013;96,20253165
LILLE;PAS-DE-CALAIS;BAC L;2;3;11;2013;27,27272727
LYON;RHONE;BAC ES;2;615;643;2013;95,64541213
TOULOUSE;TARN-ET-GARONNE;BAC ES;1;55;59;2013;93,22033898
CORSE;CORSE-DU-SUD;BAC ES;1;25;31;2013;80,64516129
MARTINIQUE;MARTINIQUE;BAC S;1;388;464;2013;83,62068966
DIJON;YONNE;BAC S;2;230;248;2013;92,74193548
POLYNESIE FRANCAISE;POLYNESIE FRANCAISE;BAC ES;2;116;128;2013;90,625
CRETEIL;SEINE-ET-MARNE;BAC L;1;22;27;2013;81,48148148
NANTES;VENDEE;BAC L;2;1393;1689;2013;82,47483718
POITIERS;VIENNE;BAC S;2;2;5;2013;40
REIMS;ARDENNES;BAC ES;1;7;17;2013;41,17647059
CLERMONT-FERRAND;HAUTE-LOIRE;BAC ES;2;19;36;2013;52,77777778
MONTPELLIER;LOZERE;BAC S;1;81;84;2013;96,42857143
DIJON;NIEVRE;BAC S;2;6;12;2013;50
STRASBOURG;HAUT-RHIN;BAC S;1;2168;2480;2013;87,41935484
VERSAILLES;HAUTS-DE-SEINE;BAC ES;2;5;21;2013;23,80952381
BESANCON;TERRITOIRE DE BELFORT;BAC ES;2;23;53;2013;43,39622642
NANCY-METZ;VOSGES;BAC ES;2;43;70;2013;61,42857143
LIMOGES;CORREZE;BAC ES;1;167;202;2013;82,67326733
