Académie Lib L;Diplôme regroupé Lib L;Département Lib L;Série du baccalauréat Lib L;Nombre total d'admis;Nombre de présents;Série du baccalauréat Lib C;Sexe;Session;Situation déclarée candidat;Secteur d'enseignement;Contrat de l'établissement;TAUX DE REUSSITE (col E / col F * 100)
RENNES;BAC GENERAL;COTES D'ARMOR;BAC LITTERAIRE;64;82;BAC L;1;1999;1;1;X;78,04878049
RENNES;BAC GENERAL;COTES D'ARMOR;BAC SCIENTIFIQUE;16;26;BAC S;1;1999;1;2;9;61,53846154
DIJON;BAC GENERAL;COTE D'OR;BAC LITTERAIRE;11;21;BAC L;2;1999;2;-;-;52,38095238
LIMOGES;BAC GENERAL;CORREZE;BAC LITTERAIRE;2;8;BAC L;2;1999;5;1;X;25
LIMOGES;BAC GENERAL;CORREZE;BAC ECONOMIQUE ET SOCIAL;135;182;BAC ES;2;1999;1;1;X;74,17582418
ORLEANS-TOURS;BAC GENERAL;CHER;BAC SCIENTIFIQUE;54;59;BAC S;1;1999;1;2;2;91,52542373
POITIERS;BAC GENERAL;CHARENTE-MARITIME;BAC ECONOMIQUE ET SOCIAL;348;422;BAC ES;2;1999;1;1;X;82,46445498
ORLEANS-TOURS;BAC GENERAL;CHER;BAC SCIENTIFIQUE;0;3;BAC S;2;1999;2;-;-;0
ROUEN;BAC GENERAL;EURE;BAC ECONOMIQUE ET SOCIAL;65;80;BAC ES;2;1999;1;2;2;81,25
POITIERS;BAC GENERAL;CHARENTE;BAC LITTERAIRE;8;8;BAC L;1;1999;1;2;2;100
GRENOBLE;BAC GENERAL;DROME;BAC SCIENTIFIQUE;0;6;BAC S;2;1999;2;-;-;0
GRENOBLE;BAC GENERAL;DROME;BAC ECONOMIQUE ET SOCIAL;7;8;BAC ES;2;1999;2;-;-;87,5
CLERMONT-FERRAND;BAC GENERAL;CANTAL;BAC ECONOMIQUE ET SOCIAL;107;130;BAC ES;2;1999;1;1;X;82,30769231
CLERMONT-FERRAND;BAC GENERAL;CANTAL;BAC SCIENTIFIQUE;43;58;BAC S;1;1999;1;2;2;74,13793103
CAEN;BAC GENERAL;CALVADOS;BAC LITTERAIRE;2;7;BAC L;1;1999;2;-;-;28,57142857
CAEN;BAC GENERAL;CALVADOS;BAC SCIENTIFIQUE;6;17;BAC S;1;1999;2;-;-;35,29411765
CAEN;BAC GENERAL;CALVADOS;BAC LITTERAIRE;115;150;BAC L;2;1999;1;2;2;76,66666667
CAEN;BAC GENERAL;CALVADOS;BAC ECONOMIQUE ET SOCIAL;129;172;BAC ES;2;1999;1;2;2;75
BESANCON;BAC GENERAL;DOUBS;BAC LITTERAIRE;6;7;BAC L;2;1999;5;1;X;85,71428571
RENNES;BAC GENERAL;COTES D'ARMOR;BAC SCIENTIFIQUE;0;1;BAC S;2;1999;5;1;X;0
RENNES;BAC GENERAL;COTES D'ARMOR;BAC SCIENTIFIQUE;1;5;BAC S;1;1999;5;1;X;20
RENNES;BAC GENERAL;COTES D'ARMOR;BAC SCIENTIFIQUE;2;4;BAC S;2;1999;2;-;-;50
RENNES;BAC GENERAL;COTES D'ARMOR;BAC ECONOMIQUE ET SOCIAL;7;11;BAC ES;1;1999;1;2;0;63,63636364
TOULOUSE;BAC GENERAL;AVEYRON;BAC SCIENTIFIQUE;231;284;BAC S;1;1999;1;1;X;81,33802817
TOULOUSE;BAC GENERAL;AVEYRON;BAC LITTERAIRE;123;142;BAC L;2;1999;1;1;X;86,61971831
MONTPELLIER;BAC GENERAL;AUDE;BAC SCIENTIFIQUE;2;6;BAC S;1;1999;2;-;-;33,33333333
MONTPELLIER;BAC GENERAL;AUDE;BAC ECONOMIQUE ET SOCIAL;3;6;BAC ES;1;1999;2;-;-;50
MONTPELLIER;BAC GENERAL;AUDE;BAC SCIENTIFIQUE;2;3;BAC S;2;1999;1;2;9;66,66666667
POITIERS;BAC GENERAL;CHARENTE-MARITIME;BAC ECONOMIQUE ET SOCIAL;0;1;BAC ES;1;1999;5;1;X;0
POITIERS;BAC GENERAL;CHARENTE-MARITIME;BAC SCIENTIFIQUE;36;40;BAC S;1;1999;1;2;2;90
POITIERS;BAC GENERAL;CHARENTE;BAC LITTERAIRE;1;1;BAC L;2;1999;5;1;X;100
CLERMONT-FERRAND;BAC GENERAL;CANTAL;BAC ECONOMIQUE ET SOCIAL;0;0;BAC ES;1;1999;2;-;-;#DIV/0!
TOULOUSE;BAC GENERAL;ARIEGE;BAC LITTERAIRE;24;25;BAC L;1;1999;1;1;X;96
TOULOUSE;BAC GENERAL;ARIEGE;BAC SCIENTIFIQUE;87;107;BAC S;2;1999;1;1;X;81,30841121
REIMS;BAC GENERAL;AUBE;BAC ECONOMIQUE ET SOCIAL;28;30;BAC ES;2;1999;1;2;2;93,33333333
REIMS;BAC GENERAL;ARDENNES;BAC LITTERAIRE;33;40;BAC L;1;1999;1;1;X;82,5
REIMS;BAC GENERAL;ARDENNES;BAC LITTERAIRE;0;2;BAC L;1;1999;5;1;X;0
GRENOBLE;BAC GENERAL;ARDECHE;BAC ECONOMIQUE ET SOCIAL;125;147;BAC ES;2;1999;1;1;X;85,03401361
GRENOBLE;BAC GENERAL;ARDECHE;BAC SCIENTIFIQUE;115;135;BAC S;2;1999;1;2;2;85,18518519
NICE;BAC GENERAL;ALPES-MARITIMES;BAC SCIENTIFIQUE;2;10;BAC S;2;1999;5;1;X;20
NICE;BAC GENERAL;ALPES-MARITIMES;BAC LITTERAIRE;167;215;BAC L;1;1999;1;1;X;77,6744186
NICE;BAC GENERAL;ALPES-MARITIMES;BAC SCIENTIFIQUE;867;1159;BAC S;1;1999;1;1;X;74,80586713
NICE;BAC GENERAL;ALPES-MARITIMES;BAC SCIENTIFIQUE;15;49;BAC S;1;1999;1;2;0;30,6122449
AIX-MARSEILLE;BAC GENERAL;BOUCHES-DU-RHONE;BAC LITTERAIRE;19;46;BAC L;2;1999;5;1;X;41,30434783
NICE;BAC GENERAL;ALPES-MARITIMES;BAC LITTERAIRE;18;26;BAC L;1;1999;1;2;2;69,23076923
AIX-MARSEILLE;BAC GENERAL;HAUTES-ALPES;BAC SCIENTIFIQUE;5;5;BAC S;2;1999;1;2;2;100
AIX-MARSEILLE;BAC GENERAL;HAUTES-ALPES;BAC ECONOMIQUE ET SOCIAL;8;10;BAC ES;1;1999;1;2;2;80
AIX-MARSEILLE;BAC GENERAL;HAUTES-ALPES;BAC LITTERAIRE;95;117;BAC L;2;1999;1;1;X;81,1965812
AIX-MARSEILLE;BAC GENERAL;HAUTES-ALPES;BAC ECONOMIQUE ET SOCIAL;42;50;BAC ES;1;1999;1;1;X;84
AIX-MARSEILLE;BAC GENERAL;ALPES-DE-HTE-PROVENCE;BAC SCIENTIFIQUE;2;4;BAC S;1;1999;2;-;-;50
AIX-MARSEILLE;BAC GENERAL;ALPES-DE-HTE-PROVENCE;BAC ECONOMIQUE ET SOCIAL;1;7;BAC ES;2;1999;1;2;2;14,28571429
AIX-MARSEILLE;BAC GENERAL;ALPES-DE-HTE-PROVENCE;BAC LITTERAIRE;6;7;BAC L;1;1999;1;2;2;85,71428571
AIX-MARSEILLE;BAC GENERAL;ALPES-DE-HTE-PROVENCE;BAC LITTERAIRE;33;38;BAC L;1;1999;1;1;X;86,84210526
CLERMONT-FERRAND;BAC GENERAL;ALLIER;BAC LITTERAIRE;242;300;BAC L;2;1999;1;1;X;80,66666667
CLERMONT-FERRAND;BAC GENERAL;ALLIER;BAC SCIENTIFIQUE;228;281;BAC S;2;1999;1;1;X;81,13879004
CLERMONT-FERRAND;BAC GENERAL;ALLIER;BAC LITTERAIRE;46;55;BAC L;2;1999;1;2;2;83,63636364
AMIENS;BAC GENERAL;AISNE;BAC LITTERAIRE;48;70;BAC L;1;1999;1;1;X;68,57142857
AMIENS;BAC GENERAL;AISNE;BAC LITTERAIRE;45;59;BAC L;2;1999;1;2;2;76,27118644
LYON;BAC GENERAL;AIN;BAC ECONOMIQUE ET SOCIAL;0;2;BAC ES;2;1999;5;1;X;0
LYON;BAC GENERAL;AIN;BAC ECONOMIQUE ET SOCIAL;381;433;BAC ES;2;1999;1;1;X;87,99076212
LYON;BAC GENERAL;AIN;BAC SCIENTIFIQUE;30;49;BAC S;1;1999;1;2;2;61,2244898
MONTPELLIER;BAC GENERAL;HERAULT;BAC LITTERAIRE;11;20;BAC L;1;1999;2;-;-;55
RENNES;BAC GENERAL;ILLE-ET-VILAINE;BAC SCIENTIFIQUE;390;452;BAC S;2;1999;1;2;2;86,28318584
RENNES;BAC GENERAL;ILLE-ET-VILAINE;BAC LITTERAIRE;3;5;BAC L;2;1999;1;2;0;60
NICE;BAC GENERAL;ALPES-MARITIMES;BAC ECONOMIQUE ET SOCIAL;4;11;BAC ES;1;1999;5;1;X;36,36363636
NICE;BAC GENERAL;ALPES-MARITIMES;BAC ECONOMIQUE ET SOCIAL;8;10;BAC ES;2;1999;5;1;X;80
ORLEANS-TOURS;BAC GENERAL;INDRE;BAC LITTERAIRE;2;3;BAC L;1;1999;1;2;2;66,66666667
ORLEANS-TOURS;BAC GENERAL;INDRE;BAC ECONOMIQUE ET SOCIAL;6;7;BAC ES;2;1999;1;2;2;85,71428571
ORLEANS-TOURS;BAC GENERAL;INDRE-ET-LOIRE;BAC LITTERAIRE;415;501;BAC L;2;1999;1;1;X;82,83433134
ORLEANS-TOURS;BAC GENERAL;INDRE-ET-LOIRE;BAC LITTERAIRE;77;92;BAC L;1;1999;1;1;X;83,69565217
ORLEANS-TOURS;BAC GENERAL;INDRE;BAC ECONOMIQUE ET SOCIAL;1;2;BAC ES;2;1999;2;-;-;50
GRENOBLE;BAC GENERAL;ISERE;BAC SCIENTIFIQUE;1098;1294;BAC S;2;1999;1;1;X;84,85316847
GRENOBLE;BAC GENERAL;ISERE;BAC LITTERAIRE;886;1022;BAC L;2;1999;1;1;X;86,6927593
AMIENS;BAC GENERAL;AISNE;BAC ECONOMIQUE ET SOCIAL;1;2;BAC ES;1;1999;2;-;-;50
GRENOBLE;BAC GENERAL;ISERE;BAC LITTERAIRE;21;41;BAC L;2;1999;2;-;-;51,2195122
GRENOBLE;BAC GENERAL;ISERE;BAC LITTERAIRE;2;11;BAC L;1;1999;2;-;-;18,18181818
BORDEAUX;BAC GENERAL;LANDES;BAC SCIENTIFIQUE;22;32;BAC S;2;1999;1;2;2;68,75
BESANCON;BAC GENERAL;JURA;BAC LITTERAIRE;1;1;BAC L;1;1999;5;1;X;100
BORDEAUX;BAC GENERAL;LANDES;BAC SCIENTIFIQUE;1;1;BAC S;1;1999;5;1;X;100
BORDEAUX;BAC GENERAL;LANDES;BAC SCIENTIFIQUE;0;1;BAC S;2;1999;2;-;-;0
ORLEANS-TOURS;BAC GENERAL;LOIR-ET-CHER;BAC ECONOMIQUE ET SOCIAL;74;105;BAC ES;1;1999;1;1;X;70,47619048
LYON;BAC GENERAL;LOIRE;BAC ECONOMIQUE ET SOCIAL;243;310;BAC ES;1;1999;1;1;X;78,38709677
REIMS;BAC GENERAL;AUBE;BAC ECONOMIQUE ET SOCIAL;1;1;BAC ES;1;1999;5;1;X;100
NANTES;BAC GENERAL;LOIRE-ATLANTIQUE;BAC ECONOMIQUE ET SOCIAL;404;435;BAC ES;2;1999;1;2;2;92,87356322
NANTES;BAC GENERAL;LOIRE-ATLANTIQUE;BAC LITTERAIRE;0;2;BAC L;1;1999;5;1;X;0
ORLEANS-TOURS;BAC GENERAL;LOIRET;BAC SCIENTIFIQUE;564;693;BAC S;2;1999;1;1;X;81,38528139
ORLEANS-TOURS;BAC GENERAL;LOIRET;BAC ECONOMIQUE ET SOCIAL;418;498;BAC ES;2;1999;1;1;X;83,93574297
ORLEANS-TOURS;BAC GENERAL;LOIRET;BAC LITTERAIRE;7;19;BAC L;2;1999;2;-;-;36,84210526
TOULOUSE;BAC GENERAL;LOT;BAC ECONOMIQUE ET SOCIAL;83;96;BAC ES;2;1999;1;1;X;86,45833333
BORDEAUX;BAC GENERAL;LOT-ET-GARONNE;BAC LITTERAIRE;229;267;BAC L;2;1999;1;1;X;85,76779026
BORDEAUX;BAC GENERAL;LOT-ET-GARONNE;BAC SCIENTIFIQUE;24;37;BAC S;2;1999;1;2;2;64,86486486
BORDEAUX;BAC GENERAL;LOT-ET-GARONNE;BAC LITTERAIRE;11;12;BAC L;1;1999;1;2;2;91,66666667
MONTPELLIER;BAC GENERAL;LOZERE;BAC SCIENTIFIQUE;22;34;BAC S;1;1999;1;2;2;64,70588235
MONTPELLIER;BAC GENERAL;LOZERE;BAC ECONOMIQUE ET SOCIAL;20;22;BAC ES;1;1999;1;2;2;90,90909091
MONTPELLIER;BAC GENERAL;LOZERE;BAC ECONOMIQUE ET SOCIAL;1;1;BAC ES;1;1999;2;-;-;100
LYON;BAC GENERAL;LOIRE;BAC ECONOMIQUE ET SOCIAL;182;206;BAC ES;2;1999;1;2;2;88,34951456
LYON;BAC GENERAL;LOIRE;BAC SCIENTIFIQUE;5;14;BAC S;1;1999;2;-;-;35,71428571
LYON;BAC GENERAL;LOIRE;BAC ECONOMIQUE ET SOCIAL;0;1;BAC ES;1;1999;5;1;X;0
CLERMONT-FERRAND;BAC GENERAL;HAUTE-LOIRE;BAC SCIENTIFIQUE;116;157;BAC S;1;1999;1;2;2;73,88535032
REIMS;BAC GENERAL;HAUTE-MARNE;BAC ECONOMIQUE ET SOCIAL;120;152;BAC ES;2;1999;1;1;X;78,94736842
REIMS;BAC GENERAL;HAUTE-MARNE;BAC ECONOMIQUE ET SOCIAL;61;76;BAC ES;1;1999;1;1;X;80,26315789
REIMS;BAC GENERAL;HAUTE-MARNE;BAC SCIENTIFIQUE;20;23;BAC S;2;1999;1;2;2;86,95652174
REIMS;BAC GENERAL;HAUTE-MARNE;BAC ECONOMIQUE ET SOCIAL;6;8;BAC ES;2;1999;1;2;2;75
REIMS;BAC GENERAL;HAUTE-MARNE;BAC LITTERAIRE;1;4;BAC L;2;1999;5;1;X;25
NANTES;BAC GENERAL;MAYENNE;BAC SCIENTIFIQUE;1;1;BAC S;2;1999;2;-;-;100
NANTES;BAC GENERAL;MAYENNE;BAC ECONOMIQUE ET SOCIAL;1;1;BAC ES;1;1999;5;1;X;100
NANCY-METZ;BAC GENERAL;MEURTHE-ET-MOSELLE;BAC SCIENTIFIQUE;728;906;BAC S;1;1999;1;1;X;80,35320088
NANCY-METZ;BAC GENERAL;MEURTHE-ET-MOSELLE;BAC ECONOMIQUE ET SOCIAL;86;100;BAC ES;1;1999;1;2;2;86
NANCY-METZ;BAC GENERAL;MEURTHE-ET-MOSELLE;BAC ECONOMIQUE ET SOCIAL;8;11;BAC ES;2;1999;2;-;-;72,72727273
NANCY-METZ;BAC GENERAL;MEUSE;BAC ECONOMIQUE ET SOCIAL;14;15;BAC ES;2;1999;1;2;2;93,33333333
NANCY-METZ;BAC GENERAL;MEUSE;BAC LITTERAIRE;3;4;BAC L;2;1999;2;-;-;75
RENNES;BAC GENERAL;MORBIHAN;BAC ECONOMIQUE ET SOCIAL;142;170;BAC ES;1;1999;1;1;X;83,52941176
RENNES;BAC GENERAL;MORBIHAN;BAC SCIENTIFIQUE;255;302;BAC S;2;1999;1;2;2;84,43708609
BORDEAUX;BAC GENERAL;LOT-ET-GARONNE;BAC LITTERAIRE;5;8;BAC L;2;1999;5;1;X;62,5
RENNES;BAC GENERAL;MORBIHAN;BAC SCIENTIFIQUE;7;13;BAC S;1;1999;1;2;9;53,84615385
RENNES;BAC GENERAL;MORBIHAN;BAC SCIENTIFIQUE;7;11;BAC S;2;1999;1;2;9;63,63636364
RENNES;BAC GENERAL;MORBIHAN;BAC SCIENTIFIQUE;0;6;BAC S;1;1999;2;-;-;0
NANTES;BAC GENERAL;MAINE-ET-LOIRE;BAC SCIENTIFIQUE;3;5;BAC S;2;1999;5;1;X;60
NANTES;BAC GENERAL;MAINE-ET-LOIRE;BAC ECONOMIQUE ET SOCIAL;0;3;BAC ES;1;1999;5;1;X;0
CAEN;BAC GENERAL;MANCHE;BAC SCIENTIFIQUE;411;530;BAC S;1;1999;1;1;X;77,54716981
CAEN;BAC GENERAL;MANCHE;BAC SCIENTIFIQUE;357;423;BAC S;2;1999;1;1;X;84,39716312
CAEN;BAC GENERAL;MANCHE;BAC LITTERAIRE;2;7;BAC L;2;1999;5;1;X;28,57142857
REIMS;BAC GENERAL;MARNE;BAC LITTERAIRE;67;82;BAC L;1;1999;1;1;X;81,70731707
NANCY-METZ;BAC GENERAL;MOSELLE;BAC SCIENTIFIQUE;148;185;BAC S;1;1999;1;2;2;80
DIJON;BAC GENERAL;NIEVRE;BAC ECONOMIQUE ET SOCIAL;74;99;BAC ES;2;1999;1;1;X;74,74747475
DIJON;BAC GENERAL;NIEVRE;BAC ECONOMIQUE ET SOCIAL;19;19;BAC ES;2;1999;1;2;2;100
CAEN;BAC GENERAL;ORNE;BAC LITTERAIRE;0;3;BAC L;1;1999;2;-;-;0
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC LITTERAIRE;24;25;BAC L;1;1999;1;2;2;96
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC LITTERAIRE;117;130;BAC L;2;1999;1;2;2;90
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC SCIENTIFIQUE;3;6;BAC S;2;1999;1;2;9;50
CLERMONT-FERRAND;BAC GENERAL;PUY-DE-DOME;BAC LITTERAIRE;436;499;BAC L;2;1999;1;1;X;87,3747495
CLERMONT-FERRAND;BAC GENERAL;PUY-DE-DOME;BAC ECONOMIQUE ET SOCIAL;93;112;BAC ES;2;1999;1;2;2;83,03571429
CLERMONT-FERRAND;BAC GENERAL;PUY-DE-DOME;BAC LITTERAIRE;30;42;BAC L;1;1999;1;2;2;71,42857143
CLERMONT-FERRAND;BAC GENERAL;PUY-DE-DOME;BAC SCIENTIFIQUE;151;204;BAC S;1;1999;1;2;2;74,01960784
CLERMONT-FERRAND;BAC GENERAL;PUY-DE-DOME;BAC LITTERAIRE;5;9;BAC L;2;1999;5;1;X;55,55555556
LILLE;BAC GENERAL;NORD;BAC ECONOMIQUE ET SOCIAL;16;44;BAC ES;1;1999;2;-;-;36,36363636
LILLE;BAC GENERAL;NORD;BAC ECONOMIQUE ET SOCIAL;18;52;BAC ES;2;1999;2;-;-;34,61538462
LILLE;BAC GENERAL;NORD;BAC LITTERAIRE;9;24;BAC L;1;1999;2;-;-;37,5
AMIENS;BAC GENERAL;OISE;BAC SCIENTIFIQUE;664;946;BAC S;1;1999;1;1;X;70,19027484
CAEN;BAC GENERAL;ORNE;BAC ECONOMIQUE ET SOCIAL;109;132;BAC ES;2;1999;1;1;X;82,57575758
CAEN;BAC GENERAL;ORNE;BAC SCIENTIFIQUE;0;2;BAC S;1;1999;2;-;-;0
STRASBOURG;BAC GENERAL;HAUT-RHIN;BAC LITTERAIRE;0;2;BAC L;1;1999;2;-;-;0
STRASBOURG;BAC GENERAL;HAUT-RHIN;BAC LITTERAIRE;42;47;BAC L;2;1999;1;2;2;89,36170213
LYON;BAC GENERAL;RHONE;BAC SCIENTIFIQUE;1501;1846;BAC S;1;1999;1;1;X;81,31094258
STRASBOURG;BAC GENERAL;HAUT-RHIN;BAC LITTERAIRE;62;69;BAC L;1;1999;1;1;X;89,85507246
LYON;BAC GENERAL;RHONE;BAC SCIENTIFIQUE;19;39;BAC S;1;1999;1;2;0;48,71794872
LYON;BAC GENERAL;RHONE;BAC LITTERAIRE;2;6;BAC L;2;1999;1;2;0;33,33333333
LYON;BAC GENERAL;RHONE;BAC SCIENTIFIQUE;4;7;BAC S;2;1999;1;2;9;57,14285714
BORDEAUX;BAC GENERAL;PYRENEES-ATLANTIQUES;BAC ECONOMIQUE ET SOCIAL;98;126;BAC ES;2;1999;1;2;2;77,77777778
BORDEAUX;BAC GENERAL;PYRENEES-ATLANTIQUES;BAC SCIENTIFIQUE;1;5;BAC S;2;1999;5;1;X;20
TOULOUSE;BAC GENERAL;HAUTES-PYRENEES;BAC ECONOMIQUE ET SOCIAL;75;100;BAC ES;1;1999;1;1;X;75
TOULOUSE;BAC GENERAL;HAUTES-PYRENEES;BAC LITTERAIRE;38;51;BAC L;2;1999;1;2;2;74,50980392
MONTPELLIER;BAC GENERAL;PYRENEES-ORIENTALES;BAC ECONOMIQUE ET SOCIAL;164;208;BAC ES;1;1999;1;1;X;78,84615385
MONTPELLIER;BAC GENERAL;PYRENEES-ORIENTALES;BAC SCIENTIFIQUE;2;5;BAC S;2;1999;2;-;-;40
STRASBOURG;BAC GENERAL;BAS-RHIN;BAC ECONOMIQUE ET SOCIAL;108;123;BAC ES;1;1999;1;2;2;87,80487805
STRASBOURG;BAC GENERAL;BAS-RHIN;BAC SCIENTIFIQUE;7;11;BAC S;2;1999;1;2;0;63,63636364
STRASBOURG;BAC GENERAL;BAS-RHIN;BAC SCIENTIFIQUE;3;11;BAC S;2;1999;5;1;X;27,27272727
GRENOBLE;BAC GENERAL;HAUTE SAVOIE;BAC LITTERAIRE;42;67;BAC L;1;1999;2;-;-;62,68656716
GRENOBLE;BAC GENERAL;HAUTE SAVOIE;BAC LITTERAIRE;85;119;BAC L;2;1999;2;-;-;71,42857143
PARIS;BAC GENERAL;PARIS;BAC SCIENTIFIQUE;2041;2719;BAC S;1;1999;1;1;X;75,0643619
BORDEAUX;BAC GENERAL;PYRENEES-ATLANTIQUES;BAC SCIENTIFIQUE;9;10;BAC S;1;1999;1;2;9;90
LYON;BAC GENERAL;RHONE;BAC SCIENTIFIQUE;1;7;BAC S;2;1999;5;1;X;14,28571429
BESANCON;BAC GENERAL;HAUTE-SAONE;BAC ECONOMIQUE ET SOCIAL;150;167;BAC ES;2;1999;1;1;X;89,82035928
DIJON;BAC GENERAL;SAONE-ET-LOIRE;BAC ECONOMIQUE ET SOCIAL;457;535;BAC ES;2;1999;1;1;X;85,42056075
BESANCON;BAC GENERAL;HAUTE-SAONE;BAC SCIENTIFIQUE;0;0;BAC S;1;1999;5;1;X;#DIV/0!
NANTES;BAC GENERAL;SARTHE;BAC ECONOMIQUE ET SOCIAL;52;61;BAC ES;1;1999;1;2;2;85,24590164
GRENOBLE;BAC GENERAL;SAVOIE;BAC ECONOMIQUE ET SOCIAL;150;190;BAC ES;1;1999;1;1;X;78,94736842
GRENOBLE;BAC GENERAL;SAVOIE;BAC ECONOMIQUE ET SOCIAL;290;315;BAC ES;2;1999;1;1;X;92,06349206
ROUEN;BAC GENERAL;SEINE MARITIME;BAC ECONOMIQUE ET SOCIAL;9;25;BAC ES;1;1999;2;-;-;36
CRETEIL;BAC GENERAL;SEINE-ET-MARNE;BAC ECONOMIQUE ET SOCIAL;437;647;BAC ES;1;1999;1;1;X;67,54250386
CRETEIL;BAC GENERAL;SEINE-ET-MARNE;BAC ECONOMIQUE ET SOCIAL;850;1124;BAC ES;2;1999;1;1;X;75,6227758
CRETEIL;BAC GENERAL;SEINE-ET-MARNE;BAC LITTERAIRE;31;36;BAC L;1;1999;1;2;2;86,11111111
PARIS;BAC GENERAL;PARIS;BAC SCIENTIFIQUE;20;57;BAC S;2;1999;2;-;-;35,0877193
PARIS;BAC GENERAL;PARIS;BAC SCIENTIFIQUE;12;44;BAC S;2;1999;5;1;X;27,27272727
PARIS;BAC GENERAL;PARIS;BAC ECONOMIQUE ET SOCIAL;40;93;BAC ES;2;1999;2;-;-;43,01075269
NANTES;BAC GENERAL;SARTHE;BAC ECONOMIQUE ET SOCIAL;5;6;BAC ES;2;1999;2;-;-;83,33333333
NANTES;BAC GENERAL;SARTHE;BAC ECONOMIQUE ET SOCIAL;3;6;BAC ES;1;1999;2;-;-;50
GRENOBLE;BAC GENERAL;HAUTE SAVOIE;BAC LITTERAIRE;0;1;BAC L;1;1999;1;2;0;0
AMIENS;BAC GENERAL;SOMME;BAC LITTERAIRE;20;25;BAC L;1;1999;1;2;2;80
AMIENS;BAC GENERAL;SOMME;BAC SCIENTIFIQUE;2;3;BAC S;1;1999;2;-;-;66,66666667
AMIENS;BAC GENERAL;SOMME;BAC LITTERAIRE;5;12;BAC L;2;1999;5;1;X;41,66666667
AMIENS;BAC GENERAL;SOMME;BAC LITTERAIRE;2;6;BAC L;1;1999;2;-;-;33,33333333
AMIENS;BAC GENERAL;SOMME;BAC LITTERAIRE;0;1;BAC L;1;1999;5;1;X;0
NICE;BAC GENERAL;VAR;BAC SCIENTIFIQUE;103;135;BAC S;2;1999;1;2;2;76,2962963
CRETEIL;BAC GENERAL;SEINE-ET-MARNE;BAC LITTERAIRE;16;33;BAC L;2;1999;2;-;-;48,48484848
CRETEIL;BAC GENERAL;SEINE-ET-MARNE;BAC LITTERAIRE;16;37;BAC L;2;1999;5;1;X;43,24324324
VERSAILLES;BAC GENERAL;YVELINES;BAC ECONOMIQUE ET SOCIAL;14;25;BAC ES;1;1999;1;2;0;56
VERSAILLES;BAC GENERAL;YVELINES;BAC LITTERAIRE;16;22;BAC L;2;1999;1;2;0;72,72727273
VERSAILLES;BAC GENERAL;YVELINES;BAC LITTERAIRE;7;13;BAC L;1;1999;1;2;0;53,84615385
VERSAILLES;BAC GENERAL;YVELINES;BAC ECONOMIQUE ET SOCIAL;54;66;BAC ES;2;1999;2;-;-;81,81818182
VERSAILLES;BAC GENERAL;YVELINES;BAC LITTERAIRE;16;27;BAC L;1;1999;2;-;-;59,25925926
POITIERS;BAC GENERAL;DEUX-SEVRES;BAC SCIENTIFIQUE;321;389;BAC S;1;1999;1;1;X;82,51928021
VERSAILLES;BAC GENERAL;ESSONNE;BAC ECONOMIQUE ET SOCIAL;4;13;BAC ES;1;1999;2;-;-;30,76923077
AIX-MARSEILLE;BAC GENERAL;VAUCLUSE;BAC LITTERAIRE;32;39;BAC L;1;1999;1;2;2;82,05128205
NANTES;BAC GENERAL;VENDEE;BAC LITTERAIRE;239;312;BAC L;2;1999;1;1;X;76,6025641
NANTES;BAC GENERAL;VENDEE;BAC ECONOMIQUE ET SOCIAL;237;252;BAC ES;2;1999;1;2;2;94,04761905
NICE;BAC GENERAL;VAR;BAC SCIENTIFIQUE;1;5;BAC S;2;1999;2;-;-;20
NANTES;BAC GENERAL;VENDEE;BAC SCIENTIFIQUE;2;4;BAC S;2;1999;2;-;-;50
POITIERS;BAC GENERAL;VIENNE;BAC LITTERAIRE;74;98;BAC L;1;1999;1;1;X;75,51020408
POITIERS;BAC GENERAL;VIENNE;BAC ECONOMIQUE ET SOCIAL;4;9;BAC ES;2;1999;2;-;-;44,44444444
VERSAILLES;BAC GENERAL;YVELINES;BAC SCIENTIFIQUE;2;9;BAC S;1;1999;1;2;0;22,22222222
LIMOGES;BAC GENERAL;HAUTE-VIENNE;BAC SCIENTIFIQUE;67;76;BAC S;1;1999;1;2;2;88,15789474
LIMOGES;BAC GENERAL;HAUTE-VIENNE;BAC SCIENTIFIQUE;34;46;BAC S;2;1999;1;2;2;73,91304348
LIMOGES;BAC GENERAL;HAUTE-VIENNE;BAC ECONOMIQUE ET SOCIAL;28;32;BAC ES;1;1999;1;2;2;87,5
NANCY-METZ;BAC GENERAL;VOSGES;BAC ECONOMIQUE ET SOCIAL;49;61;BAC ES;2;1999;1;2;2;80,32786885
NANCY-METZ;BAC GENERAL;VOSGES;BAC ECONOMIQUE ET SOCIAL;0;3;BAC ES;2;1999;2;-;-;0
NANCY-METZ;BAC GENERAL;VOSGES;BAC LITTERAIRE;2;4;BAC L;1;1999;2;-;-;50
BESANCON;BAC GENERAL;TERRITOIRE DE BELFORT;BAC SCIENTIFIQUE;118;141;BAC S;2;1999;1;1;X;83,68794326
BESANCON;BAC GENERAL;TERRITOIRE DE BELFORT;BAC LITTERAIRE;1;2;BAC L;2;1999;2;-;-;50
