Académie Lib L;Diplôme regroupé Lib L;Département Lib L;Série du baccalauréat Lib L;Nombre total d'admis;Nombre de présents;Série du baccalauréat Lib C;Sexe;Session;Situation déclarée candidat;Secteur d'enseignement;Contrat de l'établissement;TAUX DE REUSSITE (col E / col F * 100)
GRENOBLE;BAC GENERAL;DROME;BAC ECONOMIQUE ET SOCIAL;182;228;BAC ES;1;1997;1;1;X;79,8245614
BORDEAUX;BAC GENERAL;DORDOGNE;BAC SCIENTIFIQUE;0;3;BAC S;2;1997;2;-;-;0
BORDEAUX;BAC GENERAL;DORDOGNE;BAC ECONOMIQUE ET SOCIAL;1;1;BAC ES;1;1997;2;-;-;100
BORDEAUX;BAC GENERAL;DORDOGNE;BAC LITTERAIRE;6;17;BAC L;2;1997;5;1;X;35,29411765
GRENOBLE;BAC GENERAL;DROME;BAC SCIENTIFIQUE;93;115;BAC S;2;1997;1;2;2;80,86956522
BESANCON;BAC GENERAL;DOUBS;BAC SCIENTIFIQUE;600;771;BAC S;1;1997;1;1;X;77,82101167
ROUEN;BAC GENERAL;EURE;BAC SCIENTIFIQUE;317;392;BAC S;2;1997;1;1;X;80,86734694
ROUEN;BAC GENERAL;EURE;BAC LITTERAIRE;59;76;BAC L;1;1997;1;1;X;77,63157895
ORLEANS-TOURS;BAC GENERAL;CHER;BAC ECONOMIQUE ET SOCIAL;23;26;BAC ES;2;1997;1;2;2;88,46153846
BESANCON;BAC GENERAL;DOUBS;BAC LITTERAIRE;52;78;BAC L;2;1997;1;2;2;66,66666667
ROUEN;BAC GENERAL;EURE;BAC SCIENTIFIQUE;36;48;BAC S;2;1997;1;2;2;75
RENNES;BAC GENERAL;COTES D'ARMOR;BAC LITTERAIRE;1;3;BAC L;1;1997;5;1;X;33,33333333
BESANCON;BAC GENERAL;DOUBS;BAC ECONOMIQUE ET SOCIAL;5;11;BAC ES;1;1997;2;-;-;45,45454545
BESANCON;BAC GENERAL;DOUBS;BAC LITTERAIRE;0;2;BAC L;1;1997;2;-;-;0
ORLEANS-TOURS;BAC GENERAL;EURE-ET-LOIR;BAC LITTERAIRE;314;407;BAC L;2;1997;1;1;X;77,14987715
DIJON;BAC GENERAL;COTE D'OR;BAC SCIENTIFIQUE;5;17;BAC S;1;1997;2;-;-;29,41176471
